Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
30.5,6.129619121551510,0.22362456569051000,2.288890129892640,2746668155.8711600,248064455.45103900
31.0,6.434331893920900,0.23474128600056600,2.402674370527800,2883209244.6333600,297587412.9947880
31.5,6.793731927871700,0.24785314089850300,2.536879640721630,3044255568.86595,286279802.60717800
32.0,7.073210000991820,0.25804923326283300,2.641240872700450,3169489047.2405300,248894775.6257560
32.5,7.34917950630188,0.26811732388070000,2.7442919537430900,3293150344.491710,269655878.2033120
33.0,7.674989223480230,0.2800037160132200,2.8659541045365400,3439144925.4438500,260455691.35745500
33.5,7.930427074432370,0.2893227580853860,2.961338363207630,3553606035.849160,216296055.14813900
34.0,8.157687664031980,0.2976138198365310,3.0462008171599900,3655440980.591990,266000204.53649900
34.5,8.524048089981080,0.3109796080713990,3.183005200321390,3819606240.3856600,343528412.89340500
35.0,8.924324989318850,0.32558275811960200,3.332474494571160,3998969393.4853900,296567781.5295910
35.5,9.185885429382320,0.33512516828426700,3.43014501826271,4116174021.9152500,278909909.7954510
36.0,9.546756029129030,0.3482906732754490,3.564899419400700,4277879303.2808400,350104202.53237700
36.5,9.96719765663147,0.36362948544044400,3.721898520373020,4466278224.447630,337172702.97136200
37.0,10.299209594726600,0.37574215084236700,3.8458766718768400,4615052006.252200,314778523.4263880
37.5,10.66967511177060,0.38925770355607600,3.984213956561680,4781056747.874020,319483635.47151800
38.0,11.012187242507900,0.40175344349700600,4.11211303476977,4934535641.723720,315733412.994277
38.5,11.3742835521698,0.4149636655973600,4.247325134056920,5096790160.868290,338152591.88573500
39.0,11.766827583313000,0.42928470035303600,4.393906861341220,5272688233.609460,392930860.76692100
39.5,12.25117015838620,0.4469547865114670,4.574767518029350,5489721021.635210,2623102582.613370
40.0,17.62069082260130,0.6428489689541410,6.579825680185680,7895790816.22282,2548744697.3630900
40.5,17.93909215927120,0.6544650839551120,6.698721432498590,8038465718.998300,410550271.96801000
41.0,18.536897897720300,0.6762746035968700,6.921950906825690,8306341088.19083,413278939.95339800
41.5,18.861388683319100,0.688112877649651,7.043120549126420,8451744658.951700,73355347.35532480
42.0,18.700601816177400,0.6822469514607160,6.9830803629551400,8379696435.546160,-1814543591.1671300
42.5,14.811951160430900,0.5403787869354610,5.531000889820480,6637201067.784580,-1495651500.0609400
43.0,15.362821817398100,0.5604759918307540,5.736704112904350,6884044935.485210,402035750.9586560
43.5,15.70915675163270,0.5731111976593450,5.866030682286030,7039236818.743230,426239498.5838290
44.0,16.31404185295110,0.595178991007121,6.091903695057540,7310284434.06904,451976112.1208560
44.5,16.717812061309800,0.6099095861211850,6.242677442386740,7491212930.864090,445488781.7079170
45.0,17.30821967124940,0.631449202651174,6.463144346480800,7755773215.7769600,448366911.5981470
45.5,17.71841287612920,0.6464141255071340,6.616316535385200,7939579842.462240,430095594.3617920
46.0,18.26804518699650,0.6664661522921300,6.821557341782290,8185868810.138750,491625289.3162280
46.5,18.81555151939390,0.6864406178122970,7.026004276482060,8431205131.778460,521705058.54840800
