Time,Mean Intensity,Protein Concentration (ng/µL),Protein Concentration (nM),Number of Protein Molecules (PM),Rate of Change of Number of PM
110.0,67.68099617958069,2.469180070739673,40.04220811851813,29630.160848876072,320.09273920689157
110.5,68.08163976669312,2.483796598518649,40.188373396307895,29805.55918222379,358.89271627237395
111.0,68.50077629089355,2.499087797095704,40.34128538207844,29989.053565148446,209.51321686185838
111.5,68.56020832061768,2.5012560332571376,40.36296774369278,30015.07239908565,221.57258879403525
112.0,69.0068907737732,2.517552179495207,40.52592920607347,30210.62615394248,464.880876162817
112.5,69.62208580970764,2.539996106270706,40.750368473828466,30479.953275248467,468.262188946228
113.0,70.07649183273315,2.5565740285740595,40.916147696862,30678.88834288871,340.351181420363
113.5,70.39951348304749,2.5683587047224026,41.03399445834544,30820.30445666883,248.0990110648163
114.0,70.64319777488708,2.577248946162794,41.12289687274935,30926.987353953526,254.1285926532837
114.5,70.97999215126038,2.5895360874435096,41.2457682855565,31074.433049322113,289.4394348607966
115.0,71.30433320999146,2.6013688990678605,41.364096401800005,31216.426788814322,450.36362019225635
115.5,72.00870943069458,2.6270663891261976,41.621071302383385,31524.79666951437,479.41097057984007
116.0,72.39940023422241,2.641319813282847,41.76360554394988,31695.837759394162,411.0101286433419
116.5,72.94753575325012,2.6613172331798096,41.9635797429195,31935.80679815771,370.78341398144767
117.0,73.24634099006653,2.672218431114634,42.072591722267745,32066.62117337561,234.40894767976351
117.5,73.48297095298767,2.680851312153123,42.15892053265264,32170.215745837475,313.64888287115537
118.0,73.9627754688263,2.698355838020564,42.33396579132705,32380.270056246765,340.2380360875213
118.5,74.26014018058777,2.7092044818270833,42.44245222939224,32510.453781924996,363.6935645968879
119.0,74.79352164268494,2.7286636350703044,42.63704376182445,32743.963620843653,386.3225267864036
119.5,75.14257526397705,2.74139802572595,42.764387668380905,32896.7763087114,356.1347465957042
120.0,75.6070020198822,2.7583415306199464,42.933822717320865,33100.09836743936,257.8468363724751
120.5,75.73154711723328,2.762885262090323,42.97926003202464,33154.623145083875,222.91008353107463
121.0,76.11617159843445,2.776917370914203,43.11958112026343,33323.00845097043,451.21753344679746
121.5,76.76221489906311,2.800486723210889,43.3552746432303,33605.84067853067,470.60807580553956
122.0,77.19113111495972,2.8161347105646644,43.51175451676805,33793.61652677597,242.90622480227466
122.5,77.31705951690674,2.820728908611079,43.5576964972322,33848.74690333295,230.14136458167923
123.0,77.71681833267212,2.8353131576131374,43.70353898725278,34023.75789135765,488.3211655406485
123.5,78.4324791431427,2.8614223390727997,43.9646308018494,34337.068068873596,434.8999724017267
124.0,78.71021366119385,2.8715548219799483,44.06595563092089,34458.65786375938,305.2101615897045
124.5,79.12963795661926,2.8868565192052755,44.218972603174166,34642.2782304633,417.7773468251471
125.0,79.66449761390686,2.906369600882044,44.41410341994184,34876.435210584525,308.0044546758145
125.5,79.83317947387695,2.9125235570949264,44.475642982070674,34950.282685139115,190.9185538046586
126.0,80.10059237480164,2.922279480365765,44.57320221477905,35067.35376438918,344.0061723058825
126.5,80.6189558506012,2.9411907381204165,44.762314792325576,35294.288857445,433.7440947118521
127.0,81.0913474559784,2.9584248215917532,44.93465562703894,35501.097859101035,438.5036095014948
127.5,81.6205825805664,2.9777327055788745,45.12773446691015,35732.79246694649,378.826230975581
128.0,81.95665955543518,2.9899936741730513,45.250344152851916,35879.924090076616,366.6107101338639
128.5,82.45799207687378,3.00828359809003,45.43324339202171,36099.403177080356,362.63183551422844
129.0,82.7849805355072,3.020212993799237,45.55253734911378,36242.555925590845,283.28178194078646
129.5,83.10506224632263,3.031890413251762,45.669311543639026,36382.68495902114,355.0263607198867
130.0,83.59592914581299,3.0497985238592276,45.84839264971368,36597.58228631073,404.9522607216568
130.5,84.03005123138428,3.065636434978567,46.00677176090707,36787.6372197428,328.14098383691453
131.0,84.34546637535095,3.0771436058456376,46.12184346957779,36925.723270147646,365.0411839624285
131.5,84.8638756275177,3.0960565336421024,46.31097274754242,37152.67840370523,369.419302953007
132.0,85.18929123878479,3.107928547758388,46.42969288870528,37295.14257310065,374.76750748175255
132.5,85.71991682052612,3.1272871592655815,46.62327900377722,37527.44591118698,413.8869844215951
133.0,86.13468885421753,3.1424191297935207,46.77459870905661,37709.02955752225,194.3330586690936
133.5,86.16381096839905,3.1434815808213394,46.7852232193348,37721.778969856074,252.76646479949704
134.0,86.71205615997314,3.1634830018601456,46.98523742972287,37961.796022321745,488.68836598429334
134.5,87.28006935119629,3.184205611320031,47.192463524321724,38210.46733584037,365.12499918591493
135.0,87.54607200622559,3.1939100851256383,47.28950826237779,38326.92102150766,337.883903396767
135.5,88.05186128616333,3.2123626032697614,47.47403344381902,38548.351239237134,381.25645494643686
136.0,88.4169352054596,3.225681456371175,47.60722197483316,38708.1774764541,253.42404376339982
136.5,88.63073062896729,3.233481273583378,47.68522014695519,38801.775283000534,301.4562207267736
137.0,89.10551929473877,3.2508028080984057,47.858435492105464,39009.63369718087,479.9677207692803
137.5,89.72706937789917,3.2734785836474845,48.08519324759626,39281.743003769814,368.46748349715926
138.0,89.94717001914978,3.2815084317231693,48.165491728353096,39378.10118067803,344.311163691993
138.5,90.51354241371155,3.302171180621817,48.37211921733957,39626.05416746181,309.9449388849898
139.0,90.65514397621155,3.3073371766302517,48.423779177423924,39688.04611956302,338.06750361859304
139.5,91.28575372695923,3.3303434725900334,48.65384213702174,39964.1216710804,473.18547221116023
140.0,91.73599076271057,3.346769299314515,48.81810040426655,40161.23159177418,297.5389288989827
140.5,91.96538996696472,3.355138383331615,48.901791244437554,40261.66059997938,354.29289923111355
141.0,92.54526400566101,3.3762937075837747,49.11334448695915,40515.52449100529,417.1734179544874
141.5,92.91829442977905,3.3899028348278226,49.24943575939964,40678.83401793387,254.05542394635268
142.0,93.12557554244995,3.3974649929126373,49.325057340247774,40769.579914951646,399.6314031275906
142.5,93.83112955093384,3.423205451755122,49.58246192867262,41078.46542106146,364.3252579126711
143.0,93.95776462554932,3.427825431072027,49.62866172184168,41133.90517286432,414.8066555725309
143.5,94.77862787246704,3.457772673052833,49.928134141649736,41493.27207663399,449.95341617192025
144.0,94.98554491996765,3.465321549086353,50.00362290198494,41583.85858903624,319.54611364594894
144.5,95.50853276252747,3.484401515856662,50.19442256968803,41812.81819027994,400.1865876528318
145.0,95.89964818954468,3.498670431390756,50.33711172502897,41984.04517668907,389.2146216961846
145.5,96.3975739479065,3.5168360676646775,50.51876808776819,42202.032811976125,317.60865638755786
146.0,96.62512755393982,3.5251378194230525,50.601785605351935,42301.65383307663,384.20898449434026
146.5,97.27518129348755,3.548853483039206,50.838942241513465,42586.241796470465,386.2497755899094
147.0,97.50739645957947,3.5573253007222116,50.92366041834352,42687.90360866654,327.3387375009697
147.5,98.02288603782654,3.5761317111642863,51.11172452276427,42913.580533971435,362.8803586115391
148.0,98.33628511428833,3.5875653306065067,51.22606071718647,43050.783967278076,237.29175298196787
148.5,98.5649061203003,3.5959060239127836,51.309467650249246,43150.8722869534,277.46116433417046
149.0,98.97005987167358,3.6106870943010203,51.45727835413161,43328.245131612246,449.3797568091177
149.5,99.59137606620789,3.63335433698021,51.68395078092351,43600.25204376252,502.0568419427
150.0,100.116854429245,3.652525164462912,51.875659055750525,43830.301973554946,397.30242544166686
150.5,100.49889135360718,3.6664628724336823,52.01503613545823,43997.55446920419,219.64055917154474
151.0,100.61855578422546,3.6708285443938746,52.05869285506016,44049.94253272649,363.5917964238906
151.5,101.3294050693512,3.69676218880234,52.318029299144804,44361.14626562808,546.6959114523561
152.0,101.86731457710266,3.716386537014904,52.51427278127044,44596.63844417885,327.22934976221586
152.5,102.07685995101929,3.724031301282525,52.59072042394665,44688.375615390294,331.8273923840534
153.0,102.62527227401733,3.7440388197135754,52.79079560825716,44928.4658365629,474.8182512162821
153.5,103.1614363193512,3.7635994888838815,52.986402299960226,45163.193866606576,368.86975481889385
154.0,103.4678418636322,3.774777965948483,53.09818707060624,45297.335591381794,349.65790693416056
154.5,103.96012234687805,3.7927376477950614,53.27778388907202,45512.85177354074,324.4576022405745
155.0,104.20896553993225,3.8018160994685313,53.36856840580672,45621.79319362237,305.47747265741054
155.5,104.6578917503357,3.8181941038498457,53.53234844961985,45818.32924619815,362.7002028509596
156.0,105.03744268417358,3.832041116372777,53.67081857484917,45984.49339647333,395.5328073854762
156.5,105.5613648891449,3.851155171131969,53.86195912244109,46213.86205358362,386.2498799675159
157.0,105.91971182823181,3.864228606370071,53.99269347482212,46370.743276440844,293.78436177035474
157.5,106.23242497444153,3.8756372012794986,54.10677942391639,46507.64641535398,486.15376440012915
158.0,107.03018069267273,3.904741420070081,54.397821611822216,46856.89704084097,498.26887397781684
158.5,107.37056708335876,3.9171596074443165,54.52200348556457,47005.915289331795,293.9838273893911
159.0,107.70169639587402,3.9292400723525307,54.64280813464672,47150.880868230364,327.7508203183461
159.5,108.11921310424805,3.944472175804179,54.7951291691632,47333.66610965014,429.4561579791771
160.0,108.68265700340271,3.965028085517462,55.000688266296024,47580.33702620954,292.7241983518834
160.5,108.78785157203674,3.9688658590001693,55.0390660011231,47626.390308002025,291.8012914949504
161.0,109.34918737411499,3.9893448598087073,55.24385600920848,47872.13831770449,410.07741029076715
161.5,109.72454738616943,4.003038976524399,55.38079717636539,48036.46771829279,454.9551914020558
162.0,110.38839268684387,4.027257792425546,55.62298533537687,48327.09350910655,538.850472524995
162.5,110.95538568496704,4.047943182568149,55.8298392368029,48575.31819081779,345.84436645401
163.0,111.17836785316467,4.056078156296714,55.91118897408853,48672.93787556056,223.2838597643713
163.5,111.46540904045105,4.066550170881847,56.015909119939884,48798.60205058216,377.20827359155373
164.0,112.0399842262268,4.087512179096009,56.225529202081496,49050.14614915211,422.89414618517185
164.5,112.43138074874878,4.101791349730611,56.36832090842751,49221.49619676733,372.9852597343415
165.0,112.89195442199707,4.118594284073872,56.53635025186013,49423.13140888645,346.1842199629682
165.5,113.22213220596313,4.130640034727525,56.65680775839665,49567.6804167303,392.8351679693151
166.0,113.7892656326294,4.151330548071314,56.86371289183456,49815.96657685577,482.0598656505899
166.5,114.32324981689453,4.170811690198407,57.05852431310548,50049.74028238089,429.93086736455007
167.0,114.77131056785583,4.187158120351693,57.22198861463834,50245.89744422032,374.09750758187874
167.5,115.1777606010437,4.201986482496897,57.37027223609037,50423.83778996277,393.4255277502307
168.0,115.66997027397156,4.219943580997546,57.549843221096864,50639.32297197055,387.3421916908919
168.5,116.06252479553223,4.234264998471138,57.693057395832774,50811.17998165366,297.9763754763917
169.0,116.35060572624207,4.244774945620579,57.798156867327194,50937.29934744694,387.76283347253775
169.5,116.94824981689453,4.2665785679271835,58.016193090393244,51198.9428151262,469.41503968530014
170.0,117.4228401184082,4.283892865594353,58.189336067064936,51406.71438713224,435.172293594871
170.5,117.94226717948914,4.302842925726756,58.37883666838897,51634.11510872107,405.91514420452586
171.0,118.35002851486206,4.317719127611397,58.527598687235376,51812.62953133677,321.27408503441256
171.5,118.67611908912659,4.32961576614629,58.64656507258431,51955.38919375548,354.2207743002873
172.0,119.15913701057434,4.347237525469755,58.822782665818956,52166.850305637054,398.8302005677833
172.5,119.58712410926819,4.3628516161936055,58.978923573057465,52354.21939432326,352.40857017790404
173.0,119.96410608291626,4.3766049063179135,59.11645647430054,52519.25887581496,399.3139908055091
173.5,120.49923419952393,4.396127782094064,59.31168523206206,52753.53338512877,323.1191681050186
174.0,120.70217251777649,4.403531503659998,59.38572244772139,52842.378043919976,295.56619200728164
174.5,121.1743643283844,4.420758298094672,59.55799039206812,53049.099577136054,472.4460611984323
175.0,121.78133034706116,4.442902008759868,59.779427498720075,53314.82410511841,496.3894506724246
175.5,122.30821347236633,4.462124085650707,59.97164826762849,53545.48902780848,372.6816252572171
176.0,122.63260698318481,4.4739588108646355,60.08999551976776,53687.505730375626,342.1037859255739
176.5,123.08964443206787,4.490632734477838,60.256734755899785,53887.59281373405,304.2253588080566
177.0,123.32751631736755,4.499310924098641,60.343516652107816,53991.73108918368,393.0380780495834
177.5,123.98741912841797,4.5233859076486365,60.58426648760777,54280.630891783636,482.40817374625476
178.0,124.42942953109741,4.5395116052441615,60.74552346356301,54474.13926292994,328.58949444135214
178.5,124.73798084259033,4.550768365518749,60.8580910663089,54609.22038622499,376.5952638685194
179.0,125.28964567184448,4.570894543899872,61.05935285012013,54850.73452679846,477.0011002435858
179.5,125.82754325866699,4.5905184572057145,61.255591983178554,55086.221486468574,354.19071354768676
180.0,126.09868550300598,4.600410436695512,61.35451177807652,55204.92524034614,411.7904556805079
180.5,126.7681519985199,4.624834328512424,61.59875069624564,55498.01194214908,336.86006338773586
181.0,126.86813879013062,4.628482108644491,61.63522849756631,55541.78530373388,318.6275906487499
181.5,127.49595880508423,4.651386627733153,61.86427368845293,55816.63953279783,505.5805257906759
182.0,128.02298212051392,4.6706138191270465,62.05654560239187,56047.365829524555,429.06839514572493
182.5,128.47603368759155,4.68714232732863,62.22183068440769,56245.70792794356,429.2504297033229
183.0,129.0034728050232,4.70638468826899,62.41425429381131,56476.61625922788,329.1604399861826
183.5,129.2278995513916,4.7145723639941455,62.496131051062854,56574.86836792974,340.6028358460826
184.0,129.78147530555725,4.7347682579228305,62.69808999034971,56817.21909507396,394.67023078903003
184.5,130.1294023990631,4.747461549893231,62.82502291005373,56969.53859871877,394.11692506084364
185.0,130.68171429634094,4.7676113350112335,63.02652076123374,57211.336020134804,375.11832064011105
185.5,130.9862449169159,4.778721409946574,63.13762151058714,57344.65691935888,394.236437428066
186.0,131.5822262763977,4.800464371463573,63.35505112575713,57605.57245756287,391.3683493693752
186.5,131.8802056312561,4.811335439060688,63.463761801728275,57736.025268728255,332.2489735642448
187.0,132.34114694595337,4.828151785927259,63.631925270394,57937.821431127115,438.31781734977994
187.5,132.8814079761505,4.847861923839837,63.82902664951976,58174.343086078035,482.88737136899
188.0,133.44415473937988,4.868392400208009,64.03433141320149,58420.708802496105,411.0486439826709
188.5,133.82032227516174,4.882115977505059,64.17156718617198,58585.391730060706,354.64131170435576
189.0,134.25422382354736,4.897945842850039,64.32986583962179,58775.35011420046,311.4526735093532
189.5,134.53174018859863,4.908070366964171,64.43111108076312,58896.84440357006,400.18053375124873
190.0,135.1683132648468,4.931294220662643,64.66334961774784,59175.53064795171,531.0944852122411
190.5,135.74486231803894,4.952328240731859,64.87368981844,59427.9388887823,358.00018330090097
191.0,135.98605465888977,4.961127569271051,64.96168310383192,59533.53083125261,309.11764192185365
191.5,136.45094656944275,4.978088044225347,65.13128785337487,59737.056530704154,364.0628525928041
192.0,136.81764435768127,4.991466140320451,65.26506881432593,59897.593683845414,952.2743334763145
192.5,138.62612462043762,5.057444238681706,65.92484979793846,60689.33086418047,633.3389332458755
193.0,138.26431250572205,5.044244384757608,65.79285125869748,60530.93261709129,13.824814883824729
193.5,138.65770316123962,5.058596306588692,65.93637047700832,60703.15567906429,468.59818048348825
194.0,139.33468103408813,5.083294233131232,66.18334974243373,60999.53079757478,486.10658571890235
194.5,139.7680642604828,5.099105188731933,66.34145929844074,61189.262264783196,216.10873386975436
195.0,139.82831501960754,5.101303294287044,66.36344035399185,61215.63953144453,160.10993556995527
195.5,140.13378620147705,5.112447683362763,66.47488424474902,61349.37220035315,317.4108608103197
196.0,140.5533425807953,5.127754199354571,66.62794940466712,61533.05039225485,462.8107549578999
196.5,141.1909351348877,5.1510152462759216,66.86055987388063,61812.18295531105,465.0600925248873
197.0,141.61562943458557,5.166509207064978,67.0154994817712,61998.11048477974,371.85881653145043
197.5,142.0403323173523,5.182003480986875,67.17044222099017,62184.0417718425,346.5496459871865
198.0,142.40721559524536,5.195388344230578,67.30429085342719,62344.660130766926,401.094672888692
198.5,142.9565098285675,5.215428037060933,67.50468778173074,62585.13644473119,416.54704789698735
199.0,143.3586893081665,5.230100598221993,67.65141339334134,62761.20717866391,386.1013506237723
199.5,143.83843970298767,5.247603149612914,67.82643890725055,62971.237795354966,471.8668698221154
200.0,144.43652415275574,5.2694228373738365,68.04463578485979,63233.07404848603,420.62038425666833
