Time (min),Mean Intensity,Protein Concentration (microgram / milliliter),Number of Protein Molecules,Rate of Change of Protein Molecules
113.0,70.07649183273315,2.5565740285740595,49099.377236234395,340.3511814203521
113.5,70.39951348304749,2.5683587047224026,49240.79335001451,248.09901106481266
114.0,70.64319777488708,2.577248946162794,49347.47624729921,254.12859265328734
114.5,70.97999215126038,2.5895360874435096,49494.921942667796,289.4394348607966
115.0,71.30433320999146,2.6013688990678605,49636.915682160005,450.36362019225635
115.5,72.00870943069458,2.6270663891261976,49945.28556286005,479.41097057984734
116.0,72.39940023422241,2.641319813282847,50116.32665273985,411.01012864334916
116.5,72.94753575325012,2.6613172331798096,50356.2956915034,370.783413981444
117.0,73.24634099006653,2.672218431114634,50487.110066721296,234.40894767975988
117.5,73.48297095298767,2.680851312153123,50590.70463918316,313.6488828711517
118.0,73.9627754688263,2.698355838020564,50800.75894959245,340.23803608752496
118.5,74.26014018058777,2.7092044818270833,50930.942675270686,363.6935645968915
119.0,74.79352164268494,2.7286636350703044,51164.45251418934,386.32252678639634
119.5,75.14257526397705,2.74139802572595,51317.26520205708,356.13474659570056
120.0,75.6070020198822,2.7583415306199464,51520.58726078504,257.8468363724751
120.5,75.73154711723328,2.762885262090323,51575.11203842956,222.9100835310819
121.0,76.11617159843445,2.776917370914203,51743.49734431612,451.21753344679746
121.5,76.76221489906311,2.800486723210889,52026.329571876355,470.6080758055323
122.0,77.19113111495972,2.8161347105646644,52214.105420121654,242.90622480228194
122.5,77.31705951690674,2.820728908611079,52269.23579667864,230.14136458167923
123.0,77.71681833267212,2.8353131576131374,52444.24678470333,488.3211655406485
123.5,78.4324791431427,2.8614223390727997,52757.556962219285,434.899972401734
124.0,78.71021366119385,2.8715548219799483,52879.14675710507,305.2101615897045
124.5,79.12963795661926,2.8868565192052755,53062.76712380899,417.7773468251471
125.0,79.66449761390686,2.906369600882044,53296.924103930214,308.0044546758145
125.5,79.83317947387695,2.9125235570949264,53370.771578484804,190.9185538046513
126.0,80.10059237480164,2.922279480365765,53487.842657734865,344.0061723058825
126.5,80.6189558506012,2.9411907381204165,53714.77775079069,433.7440947118521
127.0,81.0913474559784,2.9584248215917532,53921.58675244672,438.5036095014875
127.5,81.6205825805664,2.9777327055788745,54153.281360292174,378.826230975581
128.0,81.95665955543518,2.9899936741730513,54300.4129834223,366.6107101338712
128.5,82.45799207687378,3.00828359809003,54519.892070426045,362.63183551422844
129.0,82.7849805355072,3.020212993799237,54663.04481893653,283.2817819407792
129.5,83.10506224632263,3.031890413251762,54803.173852366825,355.0263607198867
130.0,83.59592914581299,3.0497985238592276,55018.071179656414,404.95226072166406
130.5,84.03005123138428,3.065636434978567,55208.12611308849,328.1409838369218
131.0,84.34546637535095,3.0771436058456376,55346.212163493336,365.0411839624212
131.5,84.8638756275177,3.0960565336421024,55573.16729705091,369.4193029529997
132.0,85.18929123878479,3.107928547758388,55715.631466446335,374.76750748175255
132.5,85.71991682052612,3.1272871592655815,55947.93480453266,413.8869844216024
133.0,86.13468885421753,3.1424191297935207,56129.51845086794,194.3330586690936
133.5,86.16381096839905,3.1434815808213394,56142.267863201756,252.76646479949704
134.0,86.71205615997314,3.1634830018601456,56382.284915667435,488.6883659843006
134.5,87.28006935119629,3.184205611320031,56630.95622918606,365.12499918590765
135.0,87.54607200622559,3.1939100851256383,56747.40991485334,337.8839033967597
135.5,88.05186128616333,3.2123626032697614,56968.840132582816,381.25645494644414
136.0,88.4169352054596,3.225681456371175,57128.66636979979,253.42404376339982
136.5,88.63073062896729,3.233481273583378,57222.264176346216,301.45622072675906
137.0,89.10551929473877,3.2508028080984057,57430.122590526546,479.96772076928755
137.5,89.72706937789917,3.2734785836474845,57702.231897115504,368.46748349716654
138.0,89.94717001914978,3.2815084317231693,57798.59007402371,344.31116369197844
138.5,90.51354241371155,3.302171180621817,58046.54306080748,309.9449388849898
139.0,90.65514397621155,3.3073371766302517,58108.5350129087,338.0675036186003
139.5,91.28575372695923,3.3303434725900334,58384.61056442608,473.18547221116023
140.0,91.73599076271057,3.346769299314515,58581.72048511986,297.53892889899
140.5,91.96538996696472,3.355138383331615,58682.14949332507,354.2928992311208
141.0,92.54526400566101,3.3762937075837747,58936.01338435098,417.1734179544801
141.5,92.91829442977905,3.3899028348278226,59099.32291127955,254.05542394635268
142.0,93.12557554244995,3.3974649929126373,59190.068808297336,399.6314031275979
142.5,93.83112955093384,3.423205451755122,59498.95431440715,364.3252579126711
143.0,93.95776462554932,3.427825431072027,59554.39406621001,414.8066555725236
143.5,94.77862787246704,3.457772673052833,59913.760969979674,449.953416171913
144.0,94.98554491996765,3.465321549086353,60004.34748238192,319.54611364594894
144.5,95.50853276252747,3.484401515856662,60233.30708362562,400.1865876528318
145.0,95.89964818954468,3.498670431390756,60404.53407003475,389.2146216961919
145.5,96.3975739479065,3.5168360676646775,60622.521705321815,317.60865638756513
146.0,96.62512755393982,3.5251378194230525,60722.14272642232,384.20898449434026
146.5,97.27518129348755,3.548853483039206,61006.730689816155,386.24977558990213
147.0,97.50739645957947,3.5573253007222116,61108.39250201222,327.33873750096245
147.5,98.02288603782654,3.5761317111642863,61334.06942731712,362.8803586115464
148.0,98.33628511428833,3.5875653306065067,61471.272860623765,237.29175298196787
148.5,98.5649061203003,3.5959060239127836,61571.361180299085,277.4611643341632
149.0,98.97005987167358,3.6106870943010203,61748.73402495793,449.37975680912496
149.5,99.59137606620789,3.63335433698021,62020.74093710821,502.0568419426927
150.0,100.116854429245,3.652525164462912,62250.79086690062,397.3024254416596
150.5,100.49889135360718,3.6664628724336823,62418.04336254987,219.6405591715593
151.0,100.61855578422546,3.6708285443938746,62470.43142607218,363.5917964238906
151.5,101.3294050693512,3.69676218880234,62781.63515897376,546.6959114523488
152.0,101.86731457710266,3.716386537014904,63017.12733752453,327.22934976222314
152.5,102.07685995101929,3.724031301282525,63108.864508735984,331.82739238406066
153.0,102.62527227401733,3.7440388197135754,63348.95472990859,474.8182512162748
153.5,103.1614363193512,3.7635994888838815,63583.68275995226,368.8697548188866
