Time (min),Mean Intensity (A.U.),Protein Concentration (ng per µL),Protein Concentration (nM),Number of Protein Molecules,Rate of Change of Number of Protein Molecules (PM per min)
216.0,15.550122737884500,0.5673092201548350,7.254593608118100,8705512329.741710,75786066.79718050
219.0,15.87448239326480,0.5791427102336720,7.405917010660780,8887100412.792930,58325195.90993790
222.0,16.17521905899050,0.5901143717556210,7.546219587667790,9055463505.201340,70031283.16781840
225.0,16.625037908554100,0.6065249419522890,7.756073426499870,9307288111.799840,88981648.40230150
228.0,17.128873825073200,0.6249061962809210,7.991127829679290,9589353395.61515,72380335.61415360
231.0,17.400769233703600,0.6348256531774240,8.117975104570630,9741570125.484760,67074673.81668700
234.0,17.847742080688500,0.6511323937432450,8.326501198762720,9991801438.515270,68130373.73518090
237.0,18.13095188140870,0.6614646293078790,8.458626973246540,10150352367.895800,490344804.80493100
240.0,23.10297918319700,0.8428572124219730,10.778225222787400,12933870267.34490,489111004.4661030
243.0,23.372965812683100,0.8527070320541250,10.904181995577100,13085018394.69250,74509732.35846620
246.0,23.90153217315670,0.8719905177741340,11.150773884579700,13380928661.495700,75633170.94544760
249.0,24.18355917930600,0.8822796018937950,11.28234785030430,13538817420.365100,60349770.12356950
252.0,24.54832673072820,0.8955872778924490,11.452522735197600,13743027282.237100,-374161376.00320300
255.0,20.17351007461550,0.7359825038765430,9.411540970288280,11293849164.345900,-371090333.9063550
258.0,20.57119131088260,0.7504909573350650,9.59707106566579,11516485278.798900,86579628.54392310
261.0,21.101421356201200,0.7698351386372170,9.844439113007890,11813326935.609500,61741093.45470370
264.0,21.23289728164670,0.7746317248758540,9.905776532939310,11886931839.527200,57432713.925993000
267.0,21.716952562332200,0.7922913297822800,10.131602682637900,12157923219.165400,71609382.80786420
270.0,22.00036597251890,0.8026309935537290,10.26382344697860,12316588136.374400,71685530.41451040
273.0,22.48523736000060,0.8203203721743540,10.490030334710400,12588036401.652500,72235270.30800630
276.0,22.774542570114100,0.8308749842441590,10.624999798518700,12749999758.222400,59532523.66567900
279.0,23.123273134231600,0.8435975889276340,10.7876929530388,12945231543.64660,65909235.03065520
282.0,23.48092031478880,0.8566454951411450,10.954545973671900,13145455168.406300,68765448.77886580
285.0,23.860262155532800,0.8704848794001710,11.131520196933100,13357824236.319800,68847135.60667990
288.0,24.21878480911260,0.8835647251633570,11.298781651705300,13558537982.046400,50980989.49364570
291.0,24.406647443771400,0.8904184462921860,11.386425144401400,13663710173.28160,46412889.454390200
294.0,24.716211795806900,0.9017121649400240,11.530846098977300,13837015318.772700,77708932.90167240
297.0,25.239487648010300,0.9208026390567400,11.774969808909700,14129963770.691700,74938654.94209040
300.0,25.51936173439030,0.931013179022381,11.905539373687700,14286647248.425300,52689761.36315160
303.0,25.804186582565300,0.9414043357497320,12.03841861572550,14446102338.870600,57254969.43954820
306.0,26.13298797607420,0.9533998720732440,12.19181422088550,14630177065.062600,63760217.43064250
309.0,26.487532377243000,0.9663345807651140,12.357219702878700,14828663643.454400,57472778.73451460
312.0,26.748948574066200,0.9758717285584400,12.47917811455810,14975013737.469700,52134148.560464200
315.0,27.046276569366500,0.986719032852255,12.617890445681000,15141468534.817200,63409400.090060600
318.0,27.428534507751500,1.0006648039936500,12.796225115008400,15355470138.010000,58808576.378769600
321.0,27.67655348777770,1.009713186216350,12.911933327574900,15494319993.08980,67293061.50422640
324.0,28.14974331855770,1.026976391041810,13.132690422529500,15759228507.035400,71420893.5671056
327.0,28.442002058029200,1.0376387556010900,13.269037795410400,15922845354.492500,41874665.61604750
330.0,28.59853219985960,1.0433493852976800,13.342063750609700,16010476500.731700,61676246.74907400
333.0,29.103013038635300,1.0617541680799800,13.57741902915580,16292902834.986900,59294337.15549440
336.0,29.234015226364100,1.0665334711254800,13.638535436387200,16366242523.664600,43618052.05638000
339.0,29.570486545562700,1.0788088264340200,13.795509289437700,16554611147.325200,84781650.74317300
342.0,30.142656803131100,1.0996830965660600,14.062443690103100,16874932428.123700,74307406.18772540
345.0,30.366871118545500,1.1078630222534300,14.16704632037630,17000455584.45150,49538500.66578830
348.0,30.673582315444900,1.1190526503263800,14.310136193432000,17172163432.118400,56299687.36984220
351.0,30.970259189605700,1.1298762000150300,14.448544757225500,17338253708.670600,64093149.09323790
354.0,31.360496282577500,1.1441130716218400,14.630601938898200,17556722326.67780,63467306.08483190
357.0,31.650465726852400,1.154691916694200,14.765881287649700,17719057545.179600,63207630.06602420
360.0,32.037919759750400,1.168827254977650,14.946640089228300,17935968107.074000,54534099.553105700
363.0,32.234931230545000,1.1760147496194700,15.038551785415200,18046262142.49820,65057752.181694700
366.0,32.73517179489140,1.1942648360807000,15.271928850136800,18326314620.164100,73150287.35637730
369.0,33.018914461135900,1.2046165119758100,15.404303222197100,18485163866.636500,47238967.521933200
372.0,33.24145221710210,1.2127352723817700,15.508123687746500,18609748425.295700,37721829.197377500
375.0,33.423195600509600,1.2193657471919900,15.592912368184000,18711494841.820700,65565469.63027450
378.0,33.94414567947390,1.2383713710072100,15.835951035897800,19003141243.07740,83447743.99771050
381.0,34.31754112243650,1.2519938150950900,16.01015108817250,19212181305.80700,63441078.20629370
384.0,34.62407112121580,1.2631768325858700,16.15315642692930,19383787712.31520,56994559.30709080
387.0,34.92837643623350,1.2742786877841600,16.295123884708000,19554148661.649600,50002549.47520570
390.0,35.15997004508970,1.282727829430680,16.403169174305300,19683803009.166400,54284701.12537890
393.0,35.51016902923580,1.2955040059241900,16.566547390334900,19879856868.40180,65365256.81700640
396.0,35.860517740249600,1.3082856448461300,16.729995458390400,20075994550.068400,71883006.98599500
399.0,36.28057026863100,1.32361026165571,16.92596242526480,20311154910.3178,65385545.04875060
402.0,36.56128287315370,1.3338513929601900,17.056923183634100,20468307820.360900,45519495.38985320
405.0,36.7684223651886,1.3414083843531400,17.153559902214100,20584271882.656900,57469352.87082160
408.0,37.17720675468450,1.3563219099326800,17.34426994798820,20813123937.585900,54100394.107832000
411.0,37.34823966026310,1.362561638449310,17.42406187275330,20908874247.30390,45070885.212924300
414.0,37.6602509021759,1.3739446260509300,17.56962437405280,21083549248.863400,67584393.39339960
417.0,38.07257080078130,1.388987136266120,17.761983839720300,21314380607.664300,73127507.58740040
420.0,38.443989992141700,1.4025374815176100,17.935261911989800,21522314294.387800,52400676.3066597
423.0,38.63417148590090,1.4094758007020300,18.02398722125360,21628784665.504300,64072015.5185051
426.0,39.130677461624100,1.427589639585340,18.255621989582400,21906746387.498800,67287655.75826770
429.0,39.35532236099240,1.4357852741035100,18.360425500044900,22032510600.05390,52299524.34422300
432.0,39.6911940574646,1.448038753603930,18.51711961130350,22220543533.564200,63841481.586961700
435.0,40.039539098739600,1.4607472934040100,18.6796329079797,22415559489.57560,64788666.16066420
438.0,40.38556218147280,1.4733711220727500,18.8410629421068,22609275530.52820,67775863.58048690
441.0,40.76592230796810,1.4872476560639800,19.018512225882100,22822214671.058600,66065089.5828495
444.0,41.09361028671270,1.4992025720996500,19.171388390021000,23005666068.025300,61612645.8120594
447.0,41.42625164985660,1.5113382005765000,19.32657545494240,23191890545.93090,60416463.236255600
450.0,41.741119623184200,1.522825409225020,19.473470706202300,23368164847.44280,57947683.52758660
453.0,42.04730200767520,1.5339957448357800,19.616313872580400,23539576647.09640,60909387.18252120
456.0,42.393911838531500,1.5466409796133900,19.778017642114900,23733621170.537900,54406141.319558500
459.0,42.630396127700800,1.5552685460917300,19.888344579178200,23866013495.01380,48457774.145635600
462.0,42.913254737854000,1.5655879693043300,20.020306512843100,24024367815.41170,77560931.14093210
465.0,43.461650133132900,1.5855948701678400,20.27614923488280,24331379081.859400,72656028.65802380
468.0,43.691940784454300,1.5939964765096200,20.38358665613320,24460303987.359900,60175607.221894600
471.0,44.10657811164860,1.6091235325916000,20.5770272709923,24692432725.19080,63998537.41603600
474.0,44.377840757370000,1.6190199046392900,20.70357934321340,24844295211.85610,58959648.06931560
477.0,44.73847413063050,1.6321767549867000,20.871825511338900,25046190613.606600,66989138.45368580
480.0,45.095792293548600,1.6452126577746800,21.038525035481800,25246230042.578200,68805157.65349710
